,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
24,Mississippi,0.019294949620322476,0.013574040753599163,429677.0774685678,198007.58802227458,307488.724335507,306649.46742962336,13402.239186062156,19945.413439491367,8410.77101752691,14222.913068066766,14059.657273907422,653.4137122757879
25,Missouri,0.01994914481539645,0.011892480714725932,398781.20707033185,223713.51831501984,308008.9986506483,306647.35432957986,10167.375870412994,21662.879832582817,10501.099740959788,16507.721116872774,16208.423880310782,628.5062715328579
26,Montana,0.011114674641931596,0.013914091756453887,351240.41247674025,272831.934927362,306954.40038002736,307909.33949355327,4576.203975653925,11273.735759371324,8515.295903715607,10108.256989110057,9947.507762199586,165.7861915887856
27,Nebraska,0.023125403955565102,0.026310936530400553,435945.7502072943,175801.63850049558,313456.88498392043,306351.5675788399,15241.089526327432,5585.347845008465,2301.634465450343,4059.0933876761305,3951.0275777158213,193.27600494269478
28,Nevada,0.019076739058465388,0.010553337764637866,401832.3878937742,223591.33347447403,307078.6378205203,306747.3212181802,10303.061664781057,18554.878158721072,10712.216460017413,15200.040215948284,14868.609672093611,440.7190092449229
29,New Hampshire,0.021165956392589867,0.01824553754269335,408004.9159674079,207273.22471813986,310142.37461574853,306005.6125374,11753.260716343077,21678.161087708177,8067.382823389802,14873.39737290021,14736.543219710638,775.9859436481751
30,New Jersey,0.008533835219521958,0.005344453568313982,360723.5805805194,250166.76232782408,311567.88628270285,308050.4343331021,6267.699525982447,25666.50470294266,15413.580965968122,21367.197840845107,20971.981404709215,567.9813988596322
31,New Mexico,0.023078029515427458,0.013867857038234557,424194.8861145691,195436.7810252373,308708.6807840559,305769.7561043871,13308.198589501264,18896.231425476486,7692.761453595822,13552.95097949083,13327.616299467785,633.3051796428276
32,New York,0.004721648609059456,0.003706409388413275,349456.23626756424,265166.63255825505,311672.3219227417,309516.88982809,4651.584547453494,27233.85633723287,19690.290823729494,24315.09614091865,23919.498209783756,415.73704068430874
33,North Carolina,0.02152160316837572,0.013735661148463675,482947.2035341865,175437.98471114933,298205.99674352503,306629.54640702077,17403.60765622631,14489.641143531615,6352.986469681188,10283.57773323124,10218.579185345678,453.9621450387555
