,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
15,Iowa,0.02231887809288093,0.028722915361508148,397608.2785801269,42419.45798215591,160284.78827553056,179781.1678402121,20691.42356672443,8690.857656074691,975.8682988161239,3625.8977388019703,4008.767608497297,441.677441486398
16,Kansas,0.024674621187936185,0.03069003926964819,375829.9415979707,55851.39735590429,161999.35672095927,179563.9749675433,18575.1659450293,10379.374469318307,2298.7613571982515,6305.0010854005395,6147.653191548155,466.4976946262884
17,Kentucky,0.03292568339998735,0.018289101402675225,322074.7145619822,68418.3155368263,172968.9582259084,178371.76267972842,14834.005371168763,15796.833873897122,3383.5783807112593,9139.78781205697,9152.958715623936,711.0947985017177
18,Louisiana,0.029880752915702673,0.015231178416311632,254107.7499148588,102490.92846852123,184289.14805885326,179463.5791649954,9025.959676718056,16685.03815841211,4380.383434170113,10703.38851585947,10517.551675496023,714.9943872169042
19,Maine,0.03504062122922565,0.019000487436860364,274432.05955782224,96795.86690001609,178848.19558585994,179007.23804874142,10537.583893704366,12094.03158731654,2444.4727459106653,7412.600679651703,7206.634730849629,562.4702149510997
20,Maryland,0.02958580773848616,0.018274071380073087,340474.13990968524,60863.54842390952,171544.19357065528,179541.7570683464,16269.384916595764,16810.05727518568,1850.7354154617951,7872.1324010394355,8269.84536705518,859.3858337159592
21,Massachusetts,0.01828316010647157,0.015423408808224326,309885.11271983956,68961.98997852026,179332.02852914733,180209.1203962187,14022.73631754493,18146.434331058168,2022.996742069146,8791.252070790619,9138.746149964196,933.1118381278653
22,Michigan,0.027747845761082527,0.014486207103474537,270299.935249098,92978.7987481199,182629.71729520903,179385.59080987767,10479.56044973202,24006.604170083407,5195.300915114074,14648.08037237745,14423.930369896741,1089.1722919580884
23,Minnesota,0.02305306333406781,0.015393173411133084,435568.058283635,51792.46828157042,146212.28958520677,179948.4101979557,21375.83293889018,23373.001296992334,2004.7649691937415,9194.639806565745,10209.98527278665,1192.9179019551952
24,Mississippi,0.03397429375499527,0.02984027175717801,319267.58161564916,69873.39921126378,173184.68515132478,178279.04523902,14635.615034930135,13439.448265223871,2226.3921167027133,6631.0753364703705,7001.896592204223,644.7301249535415
25,Missouri,0.03370879139348965,0.029265038482924076,288893.637093423,84728.93737075564,178821.9664597334,178857.52232914313,12043.960979676513,13153.602078604792,2345.580478708881,6903.162852902385,7119.618433604071,630.786267769243
26,Montana,0.03150869340354765,0.025453366255451457,222945.1840122589,120685.6568271902,189063.99613809268,179465.59781202194,6411.300831391458,6940.860738751224,2047.0898579772027,5079.957691126623,4749.353242403583,300.0083922878917
27,Nebraska,0.018952735210386717,0.018175818555220456,435971.85949294333,34751.29253909624,150229.10054976388,180197.65350807842,23182.658260306693,5694.380440453672,755.1538697000764,2674.00631567643,2807.3627178915117,281.273897116939
28,Nevada,0.032325616170727114,0.022542718692612367,276598.70766983385,89870.49616877176,181314.8695820095,179056.92765558857,11161.763377399322,13121.906699380332,3156.2924869585113,7949.3438545922545,7908.099150798291,581.8748352028732
29,New Hampshire,0.03208204955446054,0.03764031134882571,315517.3400708869,76126.06624628253,172022.34077268414,178600.12510232732,14011.980114266256,11925.202646694317,1667.3069933343213,5200.1380456313,5749.473133024376,592.7744032614779
30,New Jersey,0.01901244203993291,0.019644295237325537,282134.0608297157,85299.11495933527,181762.89237630577,180220.8404650822,11425.030910032472,17060.199880572294,2967.2206201469626,9536.92841387621,9559.47776963765,816.8781729851609
31,New Mexico,0.031870481653631044,0.02499214925956167,339908.92657096667,62832.02587098803,169854.61899751052,178836.63017421155,16228.78864738563,13093.045899910972,1289.2214509094506,5570.0755122278915,6101.304651991599,677.9898121220091
32,New York,0.011522873355543353,0.00896775056599075,261534.941086658,103347.52300126206,184418.21485590338,182230.76530559588,9014.755086807607,19522.07581597313,5508.192947485124,13036.693372105994,12699.841273792998,794.5245832205172
33,North Carolina,0.0337789116413893,0.020587951055234584,322079.0628227,71837.49863064082,173446.32882930664,179335.05579644995,14685.29439085151,11727.478366897976,1380.3894093900635,5543.396094830934,5818.26666787168,599.5007690182325
34,North Dakota,0.02785718020469479,0.02590477807545762,339534.3064229978,57605.47647956274,171767.51481826557,179710.46403761447,16638.049144019573,7563.904797822402,1212.6986456292964,3465.8783681038885,3793.436840240993,365.42027497335613
35,Ohio,0.03312133645428001,0.02538953044320769,316946.2107903863,64464.1563444803,177135.58699111588,178932.50614644124,14752.988436486352,16725.44062838413,2449.2308864334314,8280.09078238482,8626.55381726469,831.83172516295
36,Oklahoma,0.035141142900886886,0.018648952574877028,286455.6241385157,85117.80761993097,179742.34020957287,178827.0696445934,11963.910462600745,16636.81482332665,4078.6416748835254,10337.779388502178,10171.839256204408,731.4240707062577
37,Oregon,0.03359167419905392,0.02373607118723919,276085.68927413365,94704.8100070512,179482.36250739754,179064.08371908782,10767.990943736246,10721.847622272853,3011.8096690313278,6875.110400789896,6770.8818241472845,446.8544662901036
38,Pennsylvania,0.025166918312905743,0.029787204648303586,299003.9592335322,75815.13370852501,179327.53085999377,179622.02130433917,12980.71607027545,16680.13342099977,1798.1653876028963,7777.690816446622,8211.193263416093,865.5238849045653
39,Rhode Island,0.027305590020665845,0.03117438118904093,329348.8736845399,53305.08712467296,177680.79325969773,179459.60064970396,16330.033738605674,11509.09507732134,1250.470717605376,5443.6954667639475,5719.618615317629,596.4667173199645
40,South Carolina,0.03241612584583782,0.022740273175473096,284899.9462682763,85486.44679569699,179559.68607052125,178755.06441054202,11822.44559268597,11421.595131631831,2132.230957596891,5785.077262646957,6086.617821041887,548.0804052595481
41,South Dakota,0.04287265070074797,0.042524657036414025,325657.9825022928,53372.07670314847,177875.19915534064,178733.0605683892,16041.17250924324,2951.938533329965,450.75849950970104,1093.0916277293666,1321.27326919667,146.92875219454714
42,Tennessee,0.026083502007050428,0.025238910564861078,309060.7587470128,80281.86927144,174874.7989913652,179517.12168960748,13430.512260402562,5353.8284086297135,1512.3861926172306,3434.6680298993474,3375.087652525136,220.87754136086835
43,Texas,0.028614706327953793,0.020992795752636875,311410.86170248594,75290.91576908693,175740.11310083623,179603.65147547078,13695.264809518038,8444.88472611957,1597.3551586517808,4597.630135071631,4685.954210329448,391.63915797545803
44,Utah,0.03013449555129437,0.032877386087946554,298677.5674267067,81571.40263554944,177734.92188637276,179470.7921191025,12848.240226057074,3026.7500277639933,577.22709777541,1640.7012404974278,1673.246534824888,143.1941549967547
45,Vermont,0.028688132705645724,0.024541634427525442,237351.2980798539,114127.92510380867,186477.10812645595,179626.48205893638,7344.4797854441595,12495.08042640735,4506.344165111278,9158.296115188277,8750.776060819207,477.01371954831285
46,Virginia,0.025602998420738696,0.02270666956334626,354504.35138485924,57436.26730068571,168728.6323733381,179664.2938392702,17127.511731849205,12161.268329182756,1473.7988428777858,5657.646769667161,5966.792708399721,613.2729225211249
47,Washington,0.02666599535494026,0.016371112686341036,256811.41340966304,108795.25958142857,181304.9947566797,179661.0217072517,8772.348969386498,13480.096562193765,5301.708313527919,9700.87954949372,9471.641622822968,472.7008168722773
48,West Virginia,0.035747090325433266,0.0252080310010448,276711.71706420725,83833.57846499866,184027.1205582914,179156.23402234874,11582.27517185204,10173.485086550734,1044.1320670411897,5314.928657126801,5321.148994997631,541.3282340530532
49,Wisconsin,0.028867839149461172,0.02390215277443883,319319.7030176277,79782.93817569166,171481.8098687399,179308.29977443107,13935.395676347724,12919.677085640235,3155.2323734652723,7889.3664006266845,7788.929292479202,558.7209892515813
50,Wyoming,0.03000976806233097,0.024988806197431088,266889.2883723054,95597.82434836609,183091.5630400586,179691.38434580658,10361.071052305271,2746.718162236609,198.57406350013895,1723.9286832872651,1565.6178771379182,154.62257925396145
