,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.011471577799790003,0.009660067803270467,546450.0321093823,264367.3081672435,401170.48466746835,399308.7748217818,16082.623659109127,10171.694863111696,6305.268516781687,8181.271042937953,8148.152236339964,221.32028955088117
1,Alaska,0.029125559217160715,0.009878738173736069,590312.3681241199,222645.16373233433,393388.0091218904,396450.78035819513,22686.41218847298,3635.2884383201826,2242.666780953551,2854.520873161828,2874.0429896093583,82.7418589521345
2,Arizona,0.008898291397806766,0.01218303401869992,520400.74647878634,272441.3046250544,407067.7564639624,399921.832433274,14131.757953156259,11169.837517893495,5624.571071367979,8403.969161434517,8332.085223525466,319.11410167055317
3,Arkansas,0.014657087224982449,0.01659904469847716,535905.7593498715,273864.16833980696,400513.49855920416,398621.3134869962,15107.112783211118,5943.484711088152,3418.8675422934975,4547.324135400704,4563.893345069266,146.59269365444692
4,California,0.0059138934042398455,0.006370463213340182,535424.5118269632,281203.8168459103,400485.4170811238,401232.20408995205,14209.868888755047,10278.347633825728,6854.070879228571,8408.103723302054,8435.28864622795,192.74384619660674
5,Colorado,0.008065508145707853,0.003900602062252848,467566.2178720765,337525.61046235956,401143.47224872734,399661.72888022894,7600.214195408444,18852.740643776684,16891.828794740322,18012.891328295012,17910.716504596283,116.2541083553446
6,Connecticut,0.003338456625415153,0.0027775251214679497,417680.3608860035,383308.51483553543,401238.0743753328,400305.7867508177,2049.090812116078,37347.33328222766,35286.78193131864,36695.65761214774,36486.185774084144,124.23796301992161
7,Delaware,0.008724601023613476,0.0022156551800019703,446770.14596691966,352665.14758889173,402192.56502236647,399552.3199495397,5591.91905685745,17437.66154685182,14516.440416643765,16168.04696585531,16045.431873793052,169.56751209363074
8,District of Columbia,0.007588125922548906,0.004766513352564871,436002.9907913404,365870.25047636154,400509.5480351087,399515.88443790236,4217.184757936904,21129.849171163605,19257.834712015185,20501.781301856976,20327.189526785845,112.57119206030242
9,Florida,0.006434749010039497,0.010021491367421934,571624.3796908273,242438.43036891337,402728.36228360125,401394.0592359272,18394.739183924452,8909.354819506134,4779.39257654582,6484.626742165768,6589.513658010041,234.81176359205048
10,Georgia,0.008445588227294413,0.006444372988452076,544028.0018713216,276168.90054248116,398196.4616334692,399889.0250890839,15110.63349109106,12293.961346878259,8911.097585469672,10349.39633795271,10410.416516972698,191.97794062175566
11,Hawaii,0.01898054150184783,0.01665522197784085,678603.7574819381,259322.2068364707,355855.3664843479,397468.00646680803,23205.61550479605,7420.4975388031935,5029.864431519727,5878.144689625019,5973.332735196509,129.41456678049974
12,Idaho,0.0219262541205856,0.011738399493372171,589073.8497268748,224397.10587390835,399149.6584862792,397432.5970913921,21148.28296440308,5733.773414811077,2934.525391490102,3955.917470319437,4079.357646374663,163.96038058728416
13,Illinois,0.005423911589810683,0.003598350556695828,451707.4336059697,356720.4416246417,399687.8933002792,400269.93355912133,5456.6539810296445,19233.099038203978,17043.182384205345,18344.446938657933,18221.338855602913,125.47343482167894
14,Indiana,0.009169957945589962,0.00492698667383371,478713.8487550818,332576.9971216502,398713.17496252584,399391.0518212502,8425.674797658163,21139.38790288869,18357.355313758533,19924.151024867035,19791.7962629669,162.12602077060845
15,Iowa,0.010893181355018728,0.007888553073068568,478140.8537048582,323336.6167406692,402154.8486666414,399260.51274477865,8995.625554307317,9561.433173554276,7601.282114492019,8598.259866713943,8556.99998393701,114.78126885133108
16,Kansas,0.01604484527009354,0.00805221979014701,509488.4967951505,295860.0904674423,401144.6148805362,398370.4934176578,12488.9056966867,6747.661914264041,5220.194630549215,5957.860324260782,5940.834329764979,90.03080092875287
17,Kentucky,0.012179905996265306,0.00693433793526232,535182.2014034549,287658.2531887514,396167.88344681426,398912.87356387876,14139.962863381057,13230.851001385294,10375.139658880902,11892.146499526789,11802.095328627332,163.31335023693427
18,Louisiana,0.009847478554809452,0.005321451601331031,514819.66131260927,293058.32534838776,401674.40939391736,399516.3290357311,12746.402942216637,18518.280179539455,15043.897701775943,16647.81243812615,16650.69475511169,201.00290624344086
19,Maine,0.00878967694316236,0.00518282758949973,437795.6662919084,357514.15983938787,403453.10412793426,399482.69642309105,4835.390031355729,13834.184435741554,11954.303898331278,13073.450030962416,12967.379932547841,110.86147419745804
20,Maryland,0.006535256202843704,0.004045250310802545,457970.8138786268,348556.4362619375,400396.79590885807,399947.3973724022,6354.048582372773,18264.048888416022,16053.141258854626,17335.498988872325,17223.18248445382,127.60945713241439
21,Massachusetts,0.0034015382920027353,0.0033036004736353972,421463.1171819954,381242.9746629932,400557.9362560096,400317.15143169556,2335.6213802358493,30578.84368874405,27816.38710895135,29498.90337267152,29321.077902860245,161.03571548175307
22,Michigan,0.006538845143395981,0.0025178591244450735,449598.2895257556,355813.00700614555,400420.06785009895,399925.7006809267,5457.7866888551,32699.47922603031,30564.142657039676,31872.38279719273,31732.474127512698,123.83417161577715
23,Minnesota,0.01000066185195106,0.005302170204072663,484257.667888107,323580.98028109956,399958.13573228486,399317.0276264728,9294.427431216656,14934.435999713245,12734.647401781529,13997.856970261386,13892.194892325542,126.48045361912878
24,Mississippi,0.010755136349694805,0.008867599408655315,540537.0482403742,275380.17867692653,399339.8145331539,399192.801123057,15239.464022424463,16055.441236441202,10380.070807854092,12900.624059266824,12963.3274599434,322.9406105657679
25,Missouri,0.011139803071672116,0.0058551139232807465,562488.628654204,268625.3202805313,394789.33954083105,399112.09225106414,16802.932877866515,14975.380164688686,11706.617720645323,13335.722503247962,13277.795095247417,187.15650987659782
26,Montana,0.026446867612237628,0.01812497445610211,623489.0541558263,205558.506181418,391298.34524481033,396606.1777056618,24643.28744345982,9595.071551789068,4139.474190435137,6331.9187649859305,6487.780132329626,317.7346142999833
27,Nebraska,0.008340076089560196,0.009403524947218984,466964.95600159594,339967.6784858671,400205.9980034297,399623.8050920063,7385.370031459044,5974.857520207384,4725.30943156642,5419.4941490040765,5363.436777602563,73.77721221981469
28,Nevada,0.01539713726855771,0.01135213675322854,562100.955551085,249385.66972541026,400694.2094083651,398530.18474688695,17983.393855456332,10192.96894694347,6585.12881886143,8126.453919822694,8185.031326251472,208.8291346486362
29,New Hampshire,0.0070753222093800265,0.005378396871500364,431789.5896082704,368419.7265820642,401219.250533337,399578.5566401201,3794.63416924449,26754.6579787951,22822.041826418987,25310.928313141623,25015.895982109654,231.86726276336998
30,New Jersey,0.003182340974991453,0.0031350522832935416,417562.7945360048,386058.5376359041,399642.8557611355,400230.0934964897,1753.5944515117276,35262.87817715974,31804.634511380435,34101.08874695613,33803.70103948408,197.545431607566
31,New Mexico,0.01193413342153246,0.0074534417170535276,490472.58361605706,310211.7952097378,403002.35617209657,398937.2186606698,10586.891704859761,15901.67621869731,12179.81267309385,14141.379825070771,14036.68712012349,217.267651303395
32,New York,0.0011039241403602922,0.0011488031108530157,413595.5528124925,388616.2408790039,401226.39843615494,400936.6421059492,1410.4727332892382,31845.583591669565,30525.478728176975,31409.950862061698,31296.846252887502,76.46416194012293
33,North Carolina,0.00992841132709971,0.010065053930783916,513122.6410189073,290749.6611549139,402907.35362632514,399618.0226367864,12721.323360623684,8595.745904012456,5928.2788523224535,7181.477106391594,7176.95854762208,154.16644620069985
34,North Dakota,0.016375585492018258,0.00664427759519102,516562.06748196814,299495.8181465944,395780.9971873119,398348.4446172054,12835.553521929969,8848.54618420177,6833.778461222988,7792.290828785461,7788.261683349938,115.06073865268678
35,Ohio,0.009200678101607839,0.004772558364581827,499995.2834627485,307406.2076775244,400996.63705519034,399515.2044081945,11012.431446464154,19826.180258932094,15885.052775948954,17886.353988655475,17817.276034073082,224.63195854538466
36,Oklahoma,0.012731988079871942,0.007602616314347099,578919.0314081403,248985.77606165668,396162.5341099489,398845.93260916765,18909.7198044074,9139.601909883417,6609.649936398686,7689.698481868485,7725.999558652362,145.9231384309268
37,Oregon,0.015596755999786355,0.01005733712277362,531636.8658270027,276711.98071162595,400745.93356287497,398422.7899528019,14733.36838003739,9547.027442394474,6365.2275061282135,7821.53524301377,7827.328563954673,184.8163800485393
38,Pennsylvania,0.00566404024367911,0.003785197127516893,448100.9386217216,355699.2176006949,401101.10960845515,400068.50175279833,5363.206112940675,28288.01041023017,25321.888129966108,27104.709251639702,26926.717696195352,171.8465106334942
39,Rhode Island,0.005642355335150551,0.005491960161242551,430217.018434399,373454.8813918149,400118.2956512964,399883.42670982063,3376.6381895300515,22570.053997950083,20183.80540838716,21792.568706200094,21556.310797491828,143.95982424222444
40,South Carolina,0.013581338736321624,0.013571969611562032,543992.7939640105,256762.28427760347,404037.63523867715,398767.88347006054,16466.82510003209,10715.373004265595,5116.916309607424,7627.561476659485,7670.0486973281695,324.7301812914219
41,South Dakota,0.009643810258759197,0.012135568646149343,457592.6665958731,347661.7362171029,399877.31074389594,399310.01336315693,6454.838006795913,6714.925681865809,4699.695265395263,5741.870154806844,5694.951126969864,116.67510615008378
42,Tennessee,0.009585608302826853,0.012483186387780433,552739.8106505801,264925.64544152876,399122.4573809759,399489.604790961,16319.236445760223,5829.9548039165875,3426.642756793003,4543.062330837436,4540.848330197396,137.67848777201934
43,Texas,0.006278806320154947,0.0064394923352956435,563819.5160469472,255708.8317339987,400175.66069344536,401296.9748258941,17087.68802247799,9325.878600172418,3587.3087254283446,5737.634203099734,5973.128106250736,325.95279236689936
44,Utah,0.01381141945608338,0.014004004021591073,500797.9361621804,294546.159718084,404880.35017121857,398852.0201213761,12014.850142207717,3847.094011534202,2331.9750114578283,3100.4110189849534,3069.7750667568343,89.4400770829718
45,Vermont,0.008438014320051652,0.00144997805286664,428560.0978556414,369115.0068532503,402243.61845365266,399511.41254490695,3656.6671370834174,17753.739967508453,17168.684189393538,17437.24290565204,17442.18177717318,34.77491501322786
46,Virginia,0.007786924279388057,0.006720203525901919,477054.2132890764,331811.63424255926,399990.9475718412,399799.8315344313,8332.423901435614,11690.261571403698,9352.179241137965,10552.802094927607,10502.4194158686,133.9778859996387
47,Washington,0.01078180410904226,0.005916077062803016,495317.78932845924,309854.9833511633,401544.9859509161,399273.11496683175,10713.474803121615,14523.146403361807,11762.158390253351,13153.885757908161,13101.230564412224,160.67665256853712
48,West Virginia,0.016162025964708657,0.012809964824277103,537160.9482935864,276256.6381722677,398913.44495961827,398292.66300268786,15166.791168635786,10426.93355563806,7808.815051347408,8625.61415728248,8802.290254939257,153.029306130905
49,Wisconsin,0.012110251986198178,0.006069571892817001,510583.56495707296,298737.7728941091,400270.1429186641,398998.70424976846,12232.368497647994,8783.811136811093,7094.607784559596,7923.659469483864,7900.917353216096,98.19762010674845
50,Wyoming,0.020197719758380916,0.013458511348483809,499201.7458656299,296469.1257019744,401675.2212491393,397693.297217434,12550.633082359012,5094.367635362133,3849.412143944724,4553.3987610232425,4499.735355677697,73.90775809404232
