,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.0027658511715286035,0.0030980111410679714,540759.5697125458,432666.96420857386,482298.87757082074,482760.6379428053,6060.824570887992,8391.98130535764,7137.551173453367,7750.453544907023,7743.024808999235,69.646377946824
1,Alaska,0.024855648324862045,0.009877719810985276,631720.6028431802,356319.21087019105,468273.71797392087,478838.64150876366,16914.05183198883,2922.7016648934195,1989.0937621927974,2390.658411515601,2410.764117632861,53.78076687080225
2,Arizona,0.002509639090159751,0.0018727084151105642,518993.6295597274,455690.14166711614,481032.7978333997,482800.5015082471,3547.521032946441,12565.5185213559,11518.514384341279,12027.200453983754,12020.823723218942,57.69644610582232
3,Arkansas,0.006141690025643834,0.00721174734482972,560372.3748646667,415580.0994041938,481006.66968783725,481962.8064093949,8163.7306177812225,9419.559510180217,6606.027951473482,8054.696182771006,7995.151154361872,158.18536842138985
4,California,0.012983643043629568,0.0010022095384925995,538555.5400313309,452663.9209341741,481904.83760372084,486700.9740426245,4741.78412551342,9736.466503489772,8619.53407324942,9223.04722918873,9194.3213040905,60.446543351201186
5,Colorado,0.006913098146506616,0.0023534358907980188,627553.0318703025,393272.56587478647,467667.9367513532,481931.0338979444,12840.426535519007,12964.698058996206,11548.625627111765,12117.907138775485,12150.08793455937,77.51358044690605
6,Connecticut,0.00453499472223412,0.000545087615129469,552329.4384827659,437784.3663934429,476308.2132809481,482271.5810347445,6373.367668146557,35224.76576867996,34304.59324306844,34645.75820791137,34678.47693768937,51.52900256392118
7,Delaware,0.006219389508160485,0.0013774274629871801,532237.4447725142,439974.48377217737,481236.01565091393,481927.19150433363,5306.591289720223,15021.101172059329,13747.937852207793,14326.851994075894,14333.307694962363,72.45754929297968
8,District of Columbia,0.0048535724800833025,0.0014708257966517925,514290.70723647525,456073.4859059485,481215.10550219275,481947.75760368415,3412.4407044647073,19420.118636957453,18808.146929267103,19130.918107887694,19112.61970420478,35.54822647638876
9,Florida,0.0020318205532926094,0.0011902348455614176,521685.9704664367,453307.0296859471,481814.9866648293,483464.8647154437,3760.3258930369443,10623.577558084604,8998.537726737522,9889.406776135225,9845.185625167887,87.86335024819122
10,Georgia,0.0020848495703934336,0.004387296229458354,530970.5503771238,439696.07054926176,483254.1162517145,483077.2238233641,5030.837625530877,11357.619191655021,9583.522035270013,10411.205701807205,10416.600959046715,98.81005280220772
11,Hawaii,0.00821142665269672,0.00580355036681619,535809.120937983,425914.6204246375,485006.4930454433,481560.76498468546,6453.615961539773,7127.712180263305,4831.728635596356,6235.776371559217,6098.896821713199,131.6396151415135
12,Idaho,0.008772112781637613,0.006899475289806249,593612.3900245526,392172.41154606006,477921.20552905183,481504.6374472708,11447.091312697828,5792.413818478271,4229.280915523181,4889.200512412803,4916.296431801637,88.8766764156357
13,Illinois,0.005159798946885508,0.0017558046848423832,594181.9270560711,409931.452540549,473946.5585221231,482946.34536552476,10158.431307063624,14065.369646352488,12457.364166167747,13127.514393214238,13159.070828432654,88.04498689996372
14,Indiana,0.0058302899635941955,0.0009311510124087917,604461.0466708451,398811.49629201734,472912.39037312724,482155.2972590248,11297.552018689094,14213.543265785042,11874.854577762575,12810.771999195618,12881.106507629924,126.03714055286136
15,Iowa,0.00909810909518454,0.00303000470707703,611702.8444518654,398399.89065771305,468402.80959981564,481369.3371297604,11799.700967871544,7836.897958670683,6132.6610100823455,6892.6305916773545,6904.083540249965,93.20888959922776
16,Kansas,0.00985077807774149,0.007407938859476128,600495.3892702117,398253.0960065694,472319.0583261386,481333.7845037421,11334.35974391472,6836.60993941218,4494.990610591738,5595.257782544249,5588.328632943814,129.32816978494515
17,Kentucky,0.006347024583041868,0.003900431294969241,596260.0289497568,394295.08295776526,477224.33573812083,481950.46865257516,11278.026338674736,8412.373414567921,6603.30285783082,7466.8015787181575,7455.054865932834,101.06632480638886
18,Louisiana,0.0022106127381438,0.0015173134734264146,513980.28359307355,455260.1519504165,482676.5437116902,482773.0642488463,3259.9703562388995,16244.963350482183,14940.79699875249,15634.846798275517,15600.394743772804,72.72463956154158
19,Maine,0.006980614125775695,0.003566486117121653,565927.5328605521,431695.3770316591,472901.444065963,481639.1062803533,7460.751580647137,12238.648867191989,11411.334111648513,11726.805920220566,11752.833350643477,45.44748302696514
20,Maryland,0.0035392773861356833,0.0014184628949562852,526601.646963455,447733.82701632427,481319.69235117704,482566.89526140236,4417.656441432294,15019.194719580153,14233.263348353208,14610.38060122298,14603.069373667719,44.90798818231524
21,Massachusetts,0.0032987371146500685,0.000849990171268304,534862.0969075796,447368.53510153864,478816.17278085253,482617.0688978047,4889.301369487547,33475.799763578994,31655.93292648553,32521.37175448931,32511.78529694499,100.36617408355612
22,Michigan,0.004937864935930061,0.0013785405851665512,604929.9152160963,407064.8371994476,472141.9358697716,483371.41785805125,10802.749375311781,23072.539352956774,21115.30528672107,21876.550686384704,21934.27173725581,106.69099100776324
23,Minnesota,0.008243645718419094,0.002443311209163867,619628.4026521493,393788.38698478806,468834.13154075935,481828.0924829581,12372.799117831111,10123.776735024961,8350.110204600453,9047.08644642368,9099.080633079579,96.56598798164602
