,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.021617646368864943,0.006145765373674276,539771.2034291965,243670.0513331661,354590.9253303708,365876.0793480847,17079.76531017785,13005.951150965513,8229.65091957536,10455.229100651106,10466.603855124058,266.8217605806736
1,Alaska,0.03002228930287038,0.00754483073146211,541361.5522212621,242289.42010288502,347589.3131120457,364886.1553505254,18085.201137108903,5760.6139623336585,3861.158848088349,4551.393332888889,4640.2318391906565,110.28484922934508
2,Arizona,0.02361098871495413,0.012124829993324005,634179.0939765599,177833.93580960916,346824.2583867551,364798.4329462594,26624.86183335724,13126.351705533252,6899.041916843731,9518.843474403437,9640.722881044774,354.2593721463803
3,Arkansas,0.024817916222370933,0.007592216513192424,554968.0665171758,218109.33332890528,357454.2078968061,364551.9796212296,19824.15602505004,7031.941268819469,3652.08118995892,5259.992927731263,5259.306186645187,191.06353398487065
4,California,0.011553105361247045,0.0043429799936303606,535111.7988021914,251353.53430680803,356331.6856735772,367956.84744660516,16211.06036035945,13450.717940283237,8957.789981439792,11111.954939723113,11104.294059408398,248.96589813848215
5,Colorado,0.01868185018396372,0.006605578796406699,430645.94572758005,318485.06869784935,361635.5891230695,365558.5881492973,6554.452821793824,21429.26402362389,17327.55650320123,19765.686609992867,19539.503508064874,236.24866544616827
6,Connecticut,0.018493361396282118,0.007192597587400922,406794.5505710867,338690.6087672574,365182.7316603163,367529.9545853862,3947.163113159503,36350.7032541759,30772.431737723913,34220.899155200204,33833.6478449387,331.7545386368976
7,Delaware,0.012247447436626372,0.007251044783956659,423444.45885552047,318099.1406093571,367230.5974846749,367196.26174243033,6300.595430517257,17606.90356913574,12348.540991457989,15278.591639383361,15069.67819953805,308.1226158235318
8,District of Columbia,0.0140210130050027,0.008191552397791298,407214.54454336315,325297.7774331248,369276.4590758411,366678.20882606733,5041.8850822685445,21561.06222967798,16959.510175252402,19597.49159106164,19408.7670555628,269.9966574897563
9,Florida,0.009605082387713118,0.004162620121059776,641241.3617516138,213668.15149712507,337394.6746875161,367779.46556624974,23960.013498511147,13191.332545206329,8688.71417006643,10672.457330003348,10721.712277192531,244.5721391058923
10,Georgia,0.015126513267299309,0.005978822032159791,510790.5827021279,273734.5486444471,354168.3924451014,366610.4010633673,13616.940336848214,16788.318178136502,12060.6646592612,14666.012640949342,14500.714357363127,265.0208373229063
11,Hawaii,0.010771774827581971,0.0039021193131192193,458607.12051744066,311112.75365886814,358915.327081493,367564.3568167415,8408.677653026956,8922.59518486992,7808.087929837842,8191.263504968943,8246.305998579224,62.99792638859465
12,Idaho,0.015110674213334339,0.006787071997266138,606823.4491994997,241742.13758903384,335124.70430769585,366835.30734713486,20663.01853287037,8076.631410447948,6622.065990390222,7251.992773241155,7268.464730309961,79.50947195327592
13,Illinois,0.016305905046709784,0.0050695135526603674,424964.75954737025,321065.11998574546,366190.8743323297,367773.7320149987,6045.742156471737,19997.024077494832,14879.074797830766,17894.433899952877,17651.65177207518,290.3086150111543
14,Indiana,0.018095172245963503,0.012671576471569647,435189.90234724886,309639.4703795173,363309.4631927293,365340.9949976967,7377.895622515583,24018.297839889834,18569.915514848843,21679.16357031781,21408.374157345017,330.8655013345694
15,Iowa,0.02067607746961722,0.008506059295686142,463412.12259588396,289555.7163663368,361543.7716074039,365366.2196879028,10218.076465369571,10910.220010051085,7776.84291325408,9528.175568490105,9417.550239310896,177.1480490883747
16,Kansas,0.01695147594754837,0.00437248395343767,483365.57378484786,288825.09153601684,356628.48673998786,366089.74121533375,11247.288088207548,8597.858961240778,6521.847452118365,7556.499964935005,7530.518221555151,116.12777346671764
17,Kentucky,0.020137234248103097,0.007179114526343858,472299.182021889,285891.84336588974,360732.0691789593,365708.057287117,10846.618051241072,17165.7133160214,12372.453599297942,14751.096709850299,14698.659344840407,270.99121276866487
18,Louisiana,0.013335742432945722,0.004302437694759234,472084.47241192096,299750.6269689234,357298.6570220827,366824.95262203965,9869.025190464768,24569.929126425606,20205.69510113984,22494.244199095272,22386.75622567042,244.98356802296823
19,Maine,0.017316978035866546,0.00787201983315579,437551.756092615,302210.18979822594,366249.9479604821,365781.206095577,8108.268792712076,14627.366795573751,11614.249044916865,13236.160050936145,13159.935575280839,172.69901124206217
20,Maryland,0.019602217661120802,0.00625345506979406,428831.6728025249,311722.5481307746,364794.0761033095,365553.9318074773,6889.505262833628,19637.108739539715,14864.839538382887,17605.206286720255,17404.40203055654,273.0055506867762
21,Massachusetts,0.015346674238764612,0.0062875433006881745,406642.1358720916,337369.30126585707,367138.7167490659,368383.4812981329,4022.2817227053347,28937.381920433912,23239.75369730383,26606.148736747033,26304.360200924864,330.7196089674073
22,Michigan,0.015942964049274564,0.005394308073878924,418480.11958012835,328878.28067440866,364278.3804725224,367074.4068574048,5212.4766339907555,35490.80166250175,30294.938706212117,33395.59360279142,33100.64377233014,301.8607658385557
23,Minnesota,0.022583863620782223,0.007272737029419953,458997.8594475485,286536.4451832573,363633.2371900054,365045.5963286849,10202.128235198184,18094.829512430617,12577.030131660622,15810.909795507829,15551.388804886681,314.3900017772081
24,Mississippi,0.018820834667099714,0.008095912730846859,505011.10047265445,268280.6884735613,355931.59956915316,365424.5340978341,13775.304067179224,19100.47174862136,12377.62793547002,15650.023761116763,15599.848544494602,378.6062870962873
25,Missouri,0.019546508338617555,0.008016610964305677,489352.8768761857,281588.1341168919,356486.4432870014,365592.49399174436,12072.727188936939,21548.23422721166,15253.07387511773,18731.244357053172,18495.310271409795,357.7646762816384
26,Montana,0.019290638979109005,0.012848858192966117,579098.5548772431,260864.29490918433,334749.7746454158,366591.6184617677,17993.894980158457,11860.466324255682,8396.729305514462,9565.511608559213,9745.626066357678,187.67529362750992
27,Nebraska,0.022940853206471705,0.009586117184041783,443694.12858180946,300485.3798725158,363256.59948018205,365013.7704291586,8409.359129207292,6164.036064872145,3900.9011329859777,5090.6484350355295,5046.186590828993,127.52592219584882
28,Nevada,0.01715433662728638,0.005939896238787048,558971.0385363379,245783.3902075772,347943.31675373984,365887.69707783364,18075.51019411609,14933.144219028807,11203.927704031801,12898.734830074105,12923.048228666641,206.39760072671356
29,New Hampshire,0.022377837910156288,0.0143289395314572,421504.5654690758,317091.62181617424,364132.8532517561,364839.080902282,6225.913126226947,25750.999146224593,17096.365902397265,21975.673021213264,21590.397544308984,514.7802133248495
30,New Jersey,0.0080097813969271,0.004320818787608253,393163.4369585942,343903.6570755779,367715.8859406052,367473.67815608287,2902.694053203927,32316.365812605498,24647.536861968627,28624.124203994656,28451.65532673538,457.2923592630393
31,New Mexico,0.02273262365822922,0.009208108326104025,472090.6166206437,286292.2392647109,358838.77957438095,364772.8212149198,10959.904974589246,18519.287028599596,12680.374557638212,15876.874306478912,15679.204469201773,333.77661011521394
32,New York,0.007527632349871745,0.0019044522462416291,392568.7664138454,350442.80826743064,372101.52345002454,371472.9572617808,2432.53790684753,30528.85711183954,27305.484905820405,29110.967922578486,29007.717386508335,182.88223926092104
33,North Carolina,0.021941407768145058,0.006494529667507195,525111.9183543273,240948.00487719724,359956.6113245705,365516.3659826876,16603.87765896336,10818.383030662004,7093.05963402556,9025.546126474814,8957.788795805223,210.02259857106802
34,North Dakota,0.018766022908962215,0.011093102554922216,448123.90344406036,298360.9686381363,364401.1013983201,366187.4877351875,8916.865394203876,10457.293187732099,7338.641820507757,9073.74139056035,8959.064911422276,179.66925621907157
35,Ohio,0.013605399997430618,0.007249825333150715,468427.24225062015,293507.06901304325,360958.57368681545,366787.61600036174,10082.462532021325,24462.717495087156,17765.9144860424,21431.682019525768,21199.581294413278,380.1587493666759
36,Oklahoma,0.021614800677960625,0.003795524674919703,549454.6094232516,244585.6439028139,350198.8107204789,365283.0392222569,17624.108356494078,14899.169283077528,11971.415425786508,13405.39711525232,13382.881643277728,162.51945776971985
37,Oregon,0.02357756523884867,0.005940584495152971,527033.1224517679,253297.18641811423,353813.65872356127,364953.5245987407,15996.470252650342,12179.675131792525,8747.117147100318,10336.552605745954,10345.579809726387,193.86605251803599
38,Pennsylvania,0.013616850203693846,0.007295170787418662,419808.6309803672,326375.753070339,364737.84604963264,367062.3522424716,5458.471699165973,29668.40562916411,23271.451975162712,26999.751744406698,26678.385281753766,371.5804542580218
39,Rhode Island,0.01749560136978648,0.012260904184474822,407343.3695259728,331566.51572780503,365083.98711924755,365940.7854167281,4506.6179362020175,21797.14338302645,15687.995568523382,19186.332966006485,18899.4318821082,360.01043750914994
40,South Carolina,0.02111357699504566,0.008036299409444923,610033.6580617647,204552.64357923577,345444.6679226735,365093.4369171553,23442.828569960293,12335.69819025508,7575.389065577749,9537.585427231881,9652.192453835047,266.2276979836459
41,South Dakota,0.01430751533734156,0.01197886024430051,432212.8506880088,305705.0344681448,368521.9782096899,366795.86427044275,7553.061245781453,5870.766598574514,3608.202932914703,4699.478896319769,4697.252598454161,130.52739196826528
42,Tennessee,0.018854805986879063,0.00853053871833163,525427.9871676891,262400.496483767,352871.3757626304,366078.21413517796,15041.800667099415,6882.063918715166,4161.932034580843,5342.810407201102,5381.490858788818,151.7143140405497
43,Texas,0.010650375313895647,0.0067131439840914554,601240.213105701,220618.54198370496,346622.5859694277,367498.46773101494,21358.068668853095,8697.179943730205,5353.0331874193735,6676.330275628711,6782.480593788081,182.54441328175983
44,Utah,0.023072718169855743,0.0173382235996459,526604.2817957138,243197.5402794337,357581.10461546644,364929.9591304731,16661.29455691253,4119.693934667902,2514.962268097971,3285.4072126781575,3273.2751650059913,93.12814970769702
45,Vermont,0.009329980037106757,0.0026159709888689776,403290.3709262149,334769.26116853283,368536.68520693696,367610.89769592293,4166.561808752996,18887.24991423262,17593.46697054017,18395.035066874123,18317.02736069179,74.64973551314557
46,Virginia,0.019141962142102883,0.0057257034543597846,446119.28709678556,297017.0943194561,365161.2311970718,365799.7802411728,8763.991810786196,12588.928887514096,8941.641760981212,10711.824761545018,10704.18023459367,207.0313530325532
47,Washington,0.01814979587956322,0.005076404103685185,464440.7610834389,297201.1700383454,359176.9366222667,365870.93232437526,9764.033302421334,17640.962977930063,14243.94216536409,15899.028674138415,15874.68021109739,191.952813646861
48,West Virginia,0.019532377631080854,0.004723496277919078,492721.2956758635,288616.40852825885,352856.063465614,365756.93996960996,11655.940528869483,14121.813867004783,11147.415092637519,12803.772733068148,12688.640859162751,165.87691510513932
49,Wisconsin,0.020765346567568368,0.0049434606510484515,481321.7928492443,274385.0042158067,361352.7830349522,365303.69887948525,12096.298787361666,11609.830296738051,8480.924773762508,10216.819679835871,10115.584886494695,175.27935863317387
50,Wyoming,0.02134005665915783,0.01630027175552909,474571.3974203073,281506.84182381444,358427.69078986696,365659.6790140713,11931.186153111825,6361.702018434558,4493.486587617522,5479.652352342511,5440.467551603127,107.4662482567474
