,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.011913695897489819,0.004052332128975354,505773.04505686986,344852.2412307918,423247.5858836075,421994.1933065769,9288.288963354236,8761.146574104332,6412.017899383468,7646.870419732106,7602.105368270972,131.44052574221217
1,Alaska,0.030134485386832027,0.0056830138549909025,528895.4736634525,314880.08464302967,421013.45271308953,418413.5215960505,13206.179828877583,3058.9159213889507,1876.2899186533318,2433.267511434522,2440.325887001984,68.58905538063958
2,Arizona,0.011320685158510282,0.004103365801342638,469410.2228229117,374821.7403810555,424431.4482628375,422310.8327268448,5501.914707662169,11340.713829210283,8125.011684633253,9951.445227672431,9837.568117509021,180.9005927640278
3,Arkansas,0.016484867285592262,0.008854634251592242,511476.93279427174,343642.2400790127,419931.99480746506,420736.40177275037,9723.691449232023,6640.978686538682,3852.7988158537164,5081.000224677988,5124.066894488416,157.38260039945754
4,California,0.007077979396573434,0.003583715948084391,492040.47705481976,353891.3629751042,430118.6496960895,426120.6967946215,7900.200032218687,9218.070755236904,6667.923090465253,7988.5773105852095,7957.68625709861,143.6740282610328
5,Colorado,0.01480252986313769,0.0014394778335946154,476133.47609574196,377345.8667678098,419506.999581447,421210.4988864815,5718.862057471477,16332.159835551476,15150.181483945644,15764.29521361858,15742.691787540462,66.01583413636791
6,Connecticut,0.009445508007652216,0.0014153126666606366,450372.4712927212,409999.77100980066,421777.2417769978,424689.7950856321,2241.511559434276,37502.069508868284,36689.994784007475,37117.64320992035,37091.48054892695,45.67987825020133
7,Delaware,0.009774977793886672,0.0028676105539221,464500.6870196525,386858.1838146608,421857.2303878714,422336.1001268739,4527.853773852873,16207.452320440361,14954.806003353538,15619.845939136307,15592.207896289117,69.86660053417326
8,District of Columbia,0.010981086253278082,0.0029374066474466055,454550.48994804354,393988.58335687884,421298.9800573416,421873.0087423574,3708.4544176241684,20091.993604348485,19050.667229168397,19576.379699105128,19560.985172710232,61.11610033569628
9,Florida,0.006258307856341817,0.0049361216885034365,486351.6564028524,356474.477870875,430263.48500145914,425501.5517981681,7418.219397509769,8686.077128642526,5556.010268575044,7226.696279607262,7171.111918995095,175.46249764609738
10,Georgia,0.008650343001544276,0.0036346665009589193,503973.36700195365,342801.40005395014,426075.714194983,423086.8586828237,9242.250248560844,11061.717182883242,7725.90884279719,9383.883893413768,9361.646163943906,188.3860575673891
11,Hawaii,0.03485207544837961,0.018129474782741125,643029.4501077008,220258.75532671763,418363.5190950403,417402.4309485244,25623.845279633377,5621.605405787344,2371.8929904677643,3566.3798250330597,3716.9972842833063,192.07330707065893
12,Idaho,0.021918004830105,0.009412656865627762,517009.60328692617,327368.03616795084,422900.4424209422,419653.34964135743,11232.41908937281,5646.199481744183,3177.243704186091,4456.411851373943,4409.6269997012405,142.08190349367004
13,Illinois,0.008300961917410853,0.0009805551732166979,486626.44447520346,372868.0659614852,421921.71643010346,423778.9847482808,6538.072205334982,17154.602460655624,15755.221105701621,16466.0768232435,16450.22236823817,77.40343100554068
14,Indiana,0.01267371530595959,0.0015619909983953459,498943.2678484734,357042.04207701155,420406.3413776794,421548.99043540907,8238.433307797417,17590.537712695233,15668.017803604165,16655.979388890446,16628.612360546475,106.83172899810332
15,Iowa,0.011544448643559517,0.003932197450493124,514157.3075014269,351054.99775416654,417706.1527486021,421608.09134513506,9429.36060726072,8938.907993258694,7002.070657673251,7940.065408478551,7927.565059330047,109.33916439561843
16,Kansas,0.017253501415388187,0.006767039414809084,523549.5909530964,335988.14979365777,418853.3434767056,420582.9295238138,11006.357655836098,5756.236081937945,4424.364286991154,5023.3818680274,5041.253599430556,74.67842542950397
17,Kentucky,0.01797649057666763,0.004154659337667197,534718.4764702978,325161.6159893076,419271.22835901927,420526.52830000606,12208.793831633158,10409.310917602848,7977.208562962141,9109.125236106955,9119.22441389679,137.2853650110382
18,Louisiana,0.012734093603278792,0.0020930852065020127,481299.1841990567,365543.87079381826,423313.07680809114,421839.9431550093,6731.235471831913,16084.725188675879,13129.657050700465,14722.069797277794,14654.69425479728,165.04722642786126
19,Maine,0.009264044466688767,0.0030571140591814454,462942.584352711,390301.8798678702,420948.28525220964,422329.86374043213,4277.705115550203,13575.179610273573,12313.907441730624,12944.070243854108,12930.901014137875,70.96597614310774
20,Maryland,0.012257622971442625,0.0014209417498555973,472393.56175796,381296.9478118309,420189.6451963265,421816.1743831136,5257.453316507025,16437.312278496323,15142.284316745234,15829.800672628815,15799.752288893127,72.45774663838726
21,Massachusetts,0.013877221459973717,0.0018994652456684469,447039.3983912859,410030.92710148863,424611.12688491395,425803.9788425723,2087.463340187568,31626.242475502146,29775.273912722838,30746.54622117776,30694.604418814728,105.51180693523483
22,Michigan,0.010993559296409964,0.0006920565446693284,476876.7815564643,379783.6215178848,419848.2135426027,422128.10911415354,5596.2886894980875,28942.047734708252,27446.563351198292,28174.53107183299,28168.935081196254,82.85914367077653
23,Minnesota,0.013988909943280468,0.0022292569547386837,499697.4118310342,357846.01985823497,419191.8963430396,421267.7510926549,8213.704646170181,12557.210877442481,10983.786185342666,11799.974194586408,11769.660421862554,88.33773230839243
24,Mississippi,0.01698667041570469,0.004344854584819221,502025.274523588,345594.2328354822,422546.4015998844,420784.1934797753,9186.265631325965,14783.136748159968,10316.504630506613,12675.183611693094,12581.875024605022,252.4907992432975
25,Missouri,0.01754030299223333,0.004621826890042324,542671.9708142832,316803.11138857674,420944.6177059532,421321.3600148004,13160.378483027911,10617.386708266142,8343.123220800513,9431.322406716368,9428.604011589554,128.51840810633595
26,Montana,0.024874698732625745,0.015634984085003575,557753.5348701541,297194.4232438998,419920.225556094,419326.43719514715,15573.604728401406,8063.546346660805,4500.835624695008,6175.815795900861,6181.205565630482,205.31689877017263
