,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.0036631510220838845,0.0034008282685748345,498244.5504926613,396770.94335479947,448701.9392389555,447067.5405795352,5843.35483716084,8218.933358957303,6892.591150521444,7622.599529620294,7582.525237462764,75.39069944311122
1,Alaska,0.014496656345678816,0.005548043676574369,541383.2673758934,364722.27294519125,442134.24739228346,444940.04249929154,10590.00529919176,3065.3760480100427,2091.1731444346633,2547.2111677350376,2547.648669016912,56.87463332224392
2,Arizona,0.0028630825836872347,0.0029152893321206914,470160.9618072903,422830.30125464854,448599.0620735378,447127.10152706684,2769.700585293364,11915.67183721863,10296.132222587788,11277.333832473014,11187.1625742494,93.80163266446074
3,Arkansas,0.006789000792543604,0.009272854237659701,518132.2338518361,380305.8828278963,447545.0444915238,446330.3443981741,8020.543630722335,8217.238166001674,5087.697015191694,6654.134561744033,6611.853542522444,180.93403033487402
4,California,0.0038979588872533515,0.0012105867703186273,486729.2047094366,411811.28366954444,448056.9961357656,448072.3519005998,4240.805032791251,9318.253983958286,7628.4060378178565,8520.89226610025,8494.148826105851,93.73735384187488
5,Colorado,0.004789853181433073,0.0019961795647598455,500938.5455285462,401464.91080825095,445852.5978432745,446742.1012846365,5758.335596782553,14801.472157357362,13890.707755142474,14324.512421088395,14321.880809028578,52.14460946059289
6,Connecticut,0.002932270182606895,0.0005390234413079507,469329.9852689586,429183.89434381435,446032.0466678904,446792.74531608383,2345.050685835943,36928.28218352855,36466.88392136886,36714.42414320329,36697.78419814298,27.609060367365345
7,Delaware,0.005871867189889887,0.0018521080254200876,484865.0588339696,411374.54146747664,446921.1734589856,446260.847658702,4396.731845314672,15213.321203246098,14317.003025733738,14770.609811739972,14753.64044328552,53.08880552428777
8,District of Columbia,0.00498051618400277,0.001158310501468808,468583.88973593345,424398.3078611229,447248.17377268034,446172.6338231895,2691.1654656495343,19418.88718049405,18740.815619916862,19102.68847292713,19084.04647762322,40.141970226939826
9,Florida,0.00293844013832916,0.0026217616815369903,481124.2506315735,414846.0242218591,448689.9886085175,447894.2347015271,3768.9183906771973,9564.386600397083,7375.902015975378,8524.03559391323,8487.710885221606,123.52286581928732
10,Georgia,0.004895745770559349,0.002582396249717094,500786.3072487699,400221.0157889332,446389.19188404846,447065.522852147,5738.037055433679,10996.497605094959,8789.50882776239,9985.278760644029,9923.67934459894,124.61674344927745
11,Hawaii,0.01402697057321205,0.019826713250579924,530403.4894832871,351147.61270582693,452842.432607672,445047.2717095528,10742.228235352273,5908.018643113915,3052.4841994564167,4506.436225063084,4466.874734707809,168.02235321451613
12,Idaho,0.008192358072550776,0.007316774790124991,523199.24532642507,381758.58496421267,444854.9848660996,446012.9401072983,8246.074228177666,5683.4633214674195,4221.722863458632,5025.363578289141,4974.710569934207,83.66727403688532
13,Illinois,0.003934883829315669,0.0012589321183668213,500147.8040744531,401226.62293456716,446995.9481152143,447234.2992146274,5661.813364790134,15322.119910520214,14158.726431732459,14726.373633458794,14719.739406228357,66.04365282749592
14,Indiana,0.005240409372449023,0.002065053536778451,509420.2180793583,392378.4676469524,446087.99737891497,446669.7876664466,6692.933918968149,15281.21737174752,13830.500642767875,14536.868412027708,14525.314818949935,82.89897302532852
15,Iowa,0.006516066369331182,0.005109574810656008,521002.77366148325,378743.6563187058,446717.3395498296,446390.28547010385,8236.87289224491,8050.154687059172,6598.577273166295,7319.642919063136,7302.209891028769,83.81202860129483
16,Kansas,0.007363650069670568,0.009944075048287792,525936.4639106399,373744.5482984764,446848.93059327087,446229.3661162198,8849.84619288201,5885.588615530379,4144.923336053244,4982.769283235604,4975.25004387157,100.2514876876769
17,Kentucky,0.007828165446917916,0.0031180506986222952,528987.2729435131,370809.3466922963,447147.07605693437,446197.7070298889,9158.624807033024,8916.732420249462,7231.5544825314955,8094.005171972189,8070.466261368283,95.37930107108724
18,Louisiana,0.0030207057139895973,0.0026957224585621464,477869.84399885795,415454.2808684911,448386.5645124386,446932.31840545253,3604.5994040797696,15725.640964167891,13968.584530772083,14973.8805238741,14898.58170560665,101.59920262902386
19,Maine,0.005485212971794529,0.001438693259386745,484834.1029794475,410773.6666212707,447617.28791379754,446489.67042071855,4436.8655910109965,12864.530727502863,12038.613349849898,12525.140836485825,12485.861571743033,47.44053554648344
20,Maryland,0.003856655045198799,0.0012496031814171697,480054.84374787053,414715.2701445193,447696.0375454619,446699.6087531567,3808.791946918712,15328.963559388114,14518.723298489067,14965.50208257452,14937.251480743878,47.03166511647997
